hhid,hv001,hv002,hv005,hv009,hv024,hv025,hv201,hv205,hv206,hv270,hv271,serv_1,serv_2,serv_3,sat_1,sat_2,sat_3,ctx_infra_index,y_wellbeing
0022 024,22,24,1078373,6,1,1,31,22,1,3,3732,3,3,3,3,3,2,0.426,2.469
0022 025,22,25,1174741,8,1,1,32,12,1,3,-15957,3,3,4,4,3,3,0.426,5.564
0023 001,23,1,1134595,5,1,1,12,21,0,4,82208,4,3,3,3,3,3,0.26,4.047
0023 002,23,2,938497,4,1,1,11,22,1,3,11990,3,4,3,2,3,3,0.26,0.906
0023 003,23,3,873911,3,1,1,13,11,1,2,-75561,3,3,3,3,2,3,0.26,3.13
0023 004,23,4,938847,5,1,1,12,12,0,4,88745,3,4,4,3,3,4,0.26,3.184
0023 005,23,5,864637,3,1,1,12,12,1,5,233903,4,4,4,4,4,4,0.26,2.281
0023 006,23,6,1058882,3,1,1,21,22,0,2,-52688,3,3,4,2,3,3,0.26,2.934
0023 007,23,7,1005285,6,1,1,11,12,0,3,-25741,3,3,3,3,3,3,0.26,4.517
0023 008,23,8,945622,3,1,1,31,31,1,4,73046,3,3,3,3,3,3,0.26,2.86
0023 009,23,9,1175329,5,1,1,11,22,1,3,-17445,4,4,3,3,4,3,0.26,5.243
0023 010,23,10,894792,4,1,1,13,12,0,2,-57343,3,3,4,4,3,3,0.26,2.784
0023 011,23,11,1042643,2,1,1,21,11,1,3,14041,4,4,4,4,4,4,0.26,2.743
0023 012,23,12,980241,4,1,1,21,21,0,1,-120716,3,4,3,2,3,2,0.26,2.523
0023 013,23,13,1027931,5,1,1,12,12,1,2,-82285,4,4,5,3,4,3,0.26,2.055
0023 014,23,14,1093812,5,1,1,21,21,0,4,97616,3,4,3,3,4,3,0.26,3.364
0023 015,23,15,1063158,5,1,1,11,11,1,5,156891,4,4,5,4,4,4,0.26,2.421
0023 016,23,16,1081985,6,1,1,21,11,1,4,31654,5,4,4,3,2,2,0.26,3.037
0023 017,23,17,937850,1,1,1,12,12,0,4,56015,4,4,4,4,4,5,0.26,2.778
0023 018,23,18,1268458,3,1,1,31,12,0,4,52056,3,4,3,4,5,4,0.26,3.3
0023 019,23,19,1000838,3,1,1,21,22,1,3,5844,3,4,2,3,3,4,0.26,2.703
0023 020,23,20,1098927,4,1,1,12,21,1,3,-5931,4,4,3,3,3,3,0.26,-0.036
0023 021,23,21,1035483,3,1,1,21,21,1,4,56219,4,4,4,3,2,2,0.26,3.253
0023 022,23,22,1076132,4,1,1,31,11,1,5,123461,4,5,3,4,3,4,0.26,2.153
0023 023,23,23,1075746,10,1,1,31,22,1,5,162509,3,3,3,3,2,3,0.26,1.585
0023 024,23,24,1229755,5,1,1,12,11,0,3,-5641,3,3,4,3,3,3,0.26,3.454
0023 025,23,25,1105983,7,1,1,12,21,0,3,6078,4,4,3,3,3,2,0.26,3.732
0024 001,24,1,1046021,2,1,1,21,31,1,4,60627,4,4,4,3,3,4,0.758,3.098
0024 002,24,2,1082754,3,1,1,11,21,1,4,42622,4,4,4,3,3,3,0.758,2.797
0024 003,24,3,1042116,2,1,1,13,22,1,5,135607,5,5,5,5,5,5,0.758,4.753
0024 004,24,4,921351,6,1,1,13,31,1,4,81162,4,4,3,4,4,5,0.758,3.121
0024 005,24,5,954077,4,1,1,32,11,0,4,69152,3,4,3,3,4,4,0.758,2.866
0024 006,24,6,1082662,6,1,1,13,11,0,4,30168,3,4,3,3,2,3,0.758,2.939
0024 007,24,7,946916,3,1,1,31,12,0,2,-64064,3,4,3,3,3,3,0.758,2.353
0024 008,24,8,1033476,8,1,1,12,11,1,3,10325,5,5,4,4,3,4,0.758,3.073
0024 009,24,9,989144,4,1,1,21,21,1,4,93578,4,5,4,4,5,5,0.758,3.903
0024 010,24,10,1098989,7,1,1,11,21,1,5,116116,3,3,3,4,4,4,0.758,2.219
0024 011,24,11,1179295,4,1,1,13,22,0,1,-112628,3,3,4,2,2,3,0.758,5.013
0024 012,24,12,1087133,5,1,1,12,22,1,3,16639,3,4,3,2,3,2,0.758,2.741
0024 013,24,13,750310,5,1,1,11,31,1,3,3631,4,4,4,4,5,4,0.758,1.634
0024 014,24,14,1113228,3,1,1,31,31,0,2,-65939,3,3,3,3,3,3,0.758,2.669
0024 015,24,15,1019778,6,1,1,21,12,1,4,62351,3,3,3,4,3,4,0.758,4.566
0024 016,24,16,929411,5,1,1,32,11,1,3,-1670,4,4,4,3,3,2,0.758,1.401
0024 017,24,17,926092,2,1,1,21,21,1,5,138194,4,4,4,5,4,5,0.758,3.579
0024 018,24,18,929731,9,1,1,31,12,1,4,82139,3,2,4,4,3,4,0.758,2.289
0024 019,24,19,1132357,4,1,1,21,12,0,3,16656,3,4,3,3,3,4,0.758,3.048
0024 020,24,20,949570,5,1,1,11,22,1,4,30276,4,4,3,3,4,3,0.758,1.566
0024 021,24,21,1061819,7,1,1,11,12,1,5,122065,5,5,4,4,3,4,0.758,4.056
0024 022,24,22,870372,7,1,1,31,31,0,4,78300,3,3,3,4,5,3,0.758,1.238
0024 023,24,23,1060753,8,1,1,21,11,1,5,176195,3,3,3,5,4,4,0.758,5.612
0024 024,24,24,976101,5,1,1,12,22,0,4,80021,2,3,3,2,3,2,0.758,0.688
0024 025,24,25,1002727,3,1,1,11,21,1,5,137133,4,4,3,4,4,5,0.758,2.31
0025 001,25,1,984695,5,1,1,31,12,1,3,-27459,3,3,3,4,3,3,1.143,3.388
0025 002,25,2,976980,3,1,1,11,21,1,4,86887,3,4,4,4,5,4,1.143,3.714
0025 003,25,3,1173598,5,1,1,11,22,1,3,16479,5,4,3,3,4,4,1.143,1.839
0025 004,25,4,876400,2,1,1,12,21,1,4,33216,3,4,4,3,3,3,1.143,3.878
0025 005,25,5,1158921,8,1,1,11,22,1,4,56960,5,4,4,3,3,3,1.143,4.171
0025 006,25,6,1171346,4,1,1,21,12,1,4,34913,4,4,4,4,4,4,1.143,4.752
0025 007,25,7,1038364,5,1,1,11,12,0,5,108462,4,4,4,4,3,3,1.143,3.029
0025 008,25,8,995228,5,1,1,32,11,1,4,43055,3,2,3,4,4,3,1.143,2.427
0025 009,25,9,709566,5,1,1,21,11,1,4,72700,4,4,3,3,3,2,1.143,2.663
0025 010,25,10,694964,6,1,1,11,22,1,5,163244,5,4,4,4,2,3,1.143,2.948
0025 011,25,11,996005,5,1,1,12,22,0,4,43388,4,4,3,4,4,4,1.143,4.862
0025 012,25,12,1233199,7,1,1,21,22,0,4,77005,5,4,4,4,4,3,1.143,3.203
0025 013,25,13,906848,6,1,1,32,21,1,3,-2644,3,3,3,2,2,2,1.143,3.185
0025 014,25,14,1105851,3,1,1,21,11,0,4,62484,3,3,4,2,2,3,1.143,2.561
0025 015,25,15,977729,2,1,1,12,21,1,4,69890,4,3,4,5,5,4,1.143,2.347
0025 016,25,16,1021710,3,1,1,21,22,1,4,64458,3,3,3,4,4,3,1.143,3.242
0025 017,25,17,877300,4,1,1,31,11,1,5,225103,4,5,4,3,3,3,1.143,3.892
0025 018,25,18,904854,5,1,1,32,12,1,4,79369,4,4,4,3,3,3,1.143,4.422
0025 019,25,19,815509,7,1,1,21,11,1,4,74496,5,4,5,5,5,5,1.143,3.458
0025 020,25,20,1089163,1,1,1,12,12,1,1,-140486,5,4,4,3,3,3,1.143,1.427
0025 021,25,21,978064,4,1,1,13,11,1,4,67312,4,4,5,4,4,4,1.143,4.041
0025 022,25,22,1129835,3,1,1,31,12,1,4,76571,5,5,5,4,5,4,1.143,4.298
0025 023,25,23,1047674,4,1,1,12,11,1,4,37222,5,4,5,4,3,3,1.143,2.583
0025 024,25,24,865119,7,1,1,31,22,1,5,103793,3,3,4,3,4,3,1.143,4.436
0025 025,25,25,979368,6,1,1,13,11,1,4,63671,4,5,5,4,5,5,1.143,3.837
0026 001,26,1,781395,6,1,1,21,11,0,2,-98302,4,3,3,3,3,4,-2.212,4.067
0026 002,26,2,1077613,4,1,1,11,21,0,1,-173312,2,3,3,3,3,2,-2.212,1.008
0026 003,26,3,853010,4,1,1,31,11,1,1,-136527,4,3,3,2,2,2,-2.212,3.496
0026 004,26,4,1113005,8,1,1,12,31,0,1,-150364,2,3,3,3,2,3,-2.212,3.013
0026 005,26,5,933246,6,1,1,12,22,0,1,-213083,4,3,3,2,1,1,-2.212,2.067
0026 006,26,6,1035475,9,1,1,21,12,0,1,-150855,2,2,3,1,1,2,-2.212,2.2
0026 007,26,7,1047436,8,1,1,12,22,1,3,7852,4,3,3,3,3,3,-2.212,5.167
0026 008,26,8,1118551,4,1,1,11,12,0,1,-158533,4,4,3,3,3,4,-2.212,2.909
0026 009,26,9,1083793,5,1,1,11,12,0,1,-180417,2,3,2,3,3,3,-2.212,1.882
0026 010,26,10,1027082,3,1,1,13,31,0,1,-123566,2,3,3,2,3,2,-2.212,2.96
0026 011,26,11,1127004,4,1,1,21,22,1,2,-88594,3,3,3,3,3,3,-2.212,2.999
0026 012,26,12,1021225,6,1,1,12,22,0,1,-322229,3,2,3,4,4,3,-2.212,4.601
0026 013,26,13,1008313,6,1,1,12,21,1,1,-117080,3,3,4,2,2,3,-2.212,1.579
0026 014,26,14,942910,8,1,1,11,22,1,1,-168011,4,3,4,3,3,3,-2.212,3.882
0026 015,26,15,991816,5,1,1,13,12,0,1,-116411,3,3,2,3,3,4,-2.212,2.725
0026 016,26,16,1047745,4,1,1,21,21,1,2,-74492,4,3,3,2,3,3,-2.212,4.461
0026 017,26,17,914575,3,1,1,11,11,0,1,-104516,3,3,3,3,3,4,-2.212,2.428
0026 018,26,18,843636,4,1,1,32,21,1,1,-169757,2,3,4,3,3,3,-2.212,3.841
0026 019,26,19,927868,7,1,1,21,21,0,3,-14156,2,3,3,2,2,2,-2.212,2.45
0026 020,26,20,953443,7,1,1,21,21,1,2,-55600,3,2,2,2,1,2,-2.212,3.629
0026 021,26,21,926121,9,1,1,31,21,0,1,-117076,3,3,3,3,3,2,-2.212,3.047
0026 022,26,22,1052548,5,1,1,12,22,0,2,-73507,1,2,2,2,2,3,-2.212,2.702
0026 023,26,23,1022425,6,1,1,32,11,0,2,-38256,2,3,3,3,3,2,-2.212,2.156
0026 024,26,24,1166169,6,1,1,21,22,0,1,-127152,3,3,3,2,3,2,-2.212,1.841
0026 025,26,25,907530,6,1,1,12,11,1,3,23099,4,3,4,4,4,4,-2.212,5.58
0027 001,27,1,1010219,6,1,1,21,21,1,5,161005,3,2,2,3,3,3,-0.136,2.914
0027 002,27,2,1080447,5,1,1,12,11,1,2,-87370,3,4,4,3,3,3,-0.136,3.995
0027 003,27,3,930472,4,1,1,31,11,0,1,-153501,3,3,3,2,3,2,-0.136,3.404
0027 004,27,4,942712,6,1,1,21,21,1,4,52044,3,4,3,4,4,4,-0.136,4.301
0027 005,27,5,967406,5,1,1,13,31,0,4,47490,3,4,3,3,2,2,-0.136,2.597
0027 006,27,6,1155369,5,1,1,12,21,1,2,-31210,4,4,4,3,3,4,-0.136,4.883
0027 007,27,7,1172904,6,1,1,11,11,0,3,20733,2,3,2,3,3,3,-0.136,2.76
0027 008,27,8,859795,5,1,1,21,21,0,1,-195756,3,3,3,3,2,2,-0.136,1.858
0027 009,27,9,1076124,4,1,1,13,21,1,5,132984,4,4,4,3,3,4,-0.136,4.54
0027 010,27,10,1054939,6,1,1,12,12,0,4,60093,3,2,3,3,3,4,-0.136,4.077
0027 011,27,11,984532,3,1,1,32,31,1,3,-29948,3,3,4,3,3,2,-0.136,2.446
0027 012,27,12,863702,8,1,1,12,11,0,2,-73482,4,4,4,3,4,4,-0.136,3.128
0027 013,27,13,1109655,4,1,1,12,11,0,1,-166285,5,5,4,3,4,4,-0.136,5.51
0027 014,27,14,819294,6,1,1,32,12,1,4,42581,4,4,4,4,3,3,-0.136,2.555
0027 015,27,15,1141525,5,1,1,11,22,0,4,73211,4,4,4,4,3,4,-0.136,3.814
0027 016,27,16,1144004,3,1,1,13,12,0,1,-140610,3,4,3,2,2,3,-0.136,2.238
0027 017,27,17,1001895,10,1,1,31,12,1,1,-120015,4,3,3,4,3,3,-0.136,2.907
0027 018,27,18,790519,6,1,1,32,21,0,1,-206878,2,3,3,3,2,2,-0.136,2.121
0027 019,27,19,954552,4,1,1,12,21,1,1,-120295,4,4,5,4,4,4,-0.136,3.544
0027 020,27,20,1036740,7,1,1,11,21,1,5,108346,4,4,4,3,3,4,-0.136,4.229
0027 021,27,21,972777,7,1,1,31,22,0,1,-146621,3,3,3,2,3,2,-0.136,4.149
0027 022,27,22,838611,5,1,1,11,11,1,4,37256,4,4,3,3,3,4,-0.136,5.088
0027 023,27,23,939906,4,1,1,21,22,1,1,-130309,3,3,3,2,2,3,-0.136,3.072
0027 024,27,24,942612,7,1,1,13,11,1,4,84337,3,4,4,2,2,2,-0.136,4.505
0027 025,27,25,839041,5,1,1,11,12,0,5,121984,4,4,4,3,3,4,-0.136,2.268
0028 001,28,1,704501,7,1,1,12,22,1,4,74871,3,3,4,2,3,2,-0.24,2.983
0028 002,28,2,1007066,4,1,1,12,21,1,2,-44565,4,4,3,3,3,2,-0.24,4.527
0028 003,28,3,1178167,4,1,1,32,21,1,3,-17594,3,2,2,4,4,4,-0.24,4.957
0028 004,28,4,1043207,7,1,1,11,11,0,2,-83244,4,4,4,3,2,2,-0.24,2.38
0028 005,28,5,985995,7,1,1,12,31,1,1,-168593,3,4,4,3,3,3,-0.24,4.251
0028 006,28,6,798826,9,1,1,11,31,0,2,-66896,4,5,4,3,3,3,-0.24,4.24
0028 007,28,7,936513,3,1,1,11,12,1,4,66244,4,4,4,4,4,3,-0.24,3.018
0028 008,28,8,972691,5,1,1,12,31,1,5,105797,4,4,4,4,4,4,-0.24,3.416
0028 009,28,9,955849,4,1,1,12,31,0,5,102595,3,3,3,4,4,3,-0.24,3.847
0028 010,28,10,962393,3,1,1,11,21,1,3,11536,3,3,3,3,2,2,-0.24,1.248
0028 011,28,11,1139051,3,1,1,11,11,0,1,-106071,3,4,3,4,3,3,-0.24,4.498
0028 012,28,12,1002046,3,1,1,11,22,1,4,32704,4,4,4,3,3,3,-0.24,4.311
0028 013,28,13,832472,3,1,1,31,31,1,4,37914,4,3,3,3,3,3,-0.24,4.303
0028 014,28,14,992656,7,1,1,13,12,0,3,13577,4,3,3,4,3,4,-0.24,3.17
0028 015,28,15,912069,6,1,1,21,22,0,1,-153838,3,3,4,2,2,2,-0.24,2.321
0028 016,28,16,996670,7,1,1,31,31,0,3,-191,2,3,3,3,3,3,-0.24,3.724
0028 017,28,17,1170090,3,1,1,11,31,0,2,-35248,3,3,3,3,3,2,-0.24,3.717
0028 018,28,18,843676,5,1,1,11,21,1,5,101894,3,3,3,3,3,2,-0.24,3.167
0028 019,28,19,730058,4,1,1,12,22,0,2,-88225,3,3,3,4,3,3,-0.24,5.628
0028 020,28,20,997946,2,1,1,21,11,1,4,35203,3,4,3,3,3,3,-0.24,4.039
0028 021,28,21,1004090,8,1,1,11,11,0,2,-68279,2,3,3,2,2,2,-0.24,2.235
0028 022,28,22,1065361,6,1,1,11,21,0,4,37581,5,4,4,5,4,4,-0.24,4.385
0028 023,28,23,689426,5,1,1,11,21,1,4,81609,2,4,3,4,4,4,-0.24,5.397
0028 024,28,24,1014131,4,1,1,31,12,0,1,-198803,3,2,3,3,3,3,-0.24,3.289
0028 025,28,25,867099,8,1,1,21,12,1,2,-31271,4,3,3,4,4,4,-0.24,5.117
0029 001,29,1,1165159,6,1,1,12,31,1,5,123652,4,3,3,4,3,4,-0.879,3.154
0029 002,29,2,1033191,4,1,1,32,31,1,2,-90556,3,4,3,4,4,4,-0.879,3.297
0029 003,29,3,974329,4,1,1,12,21,1,3,15846,4,4,3,3,3,4,-0.879,2.477
0029 004,29,4,970891,4,1,1,12,12,0,3,15328,4,3,3,2,3,3,-0.879,2.208
0029 005,29,5,973969,9,1,1,31,12,1,3,-2176,4,3,4,3,3,3,-0.879,3.855
0029 006,29,6,1003481,4,1,1,21,22,0,3,-8095,3,3,3,2,3,3,-0.879,0.72
0029 007,29,7,929881,4,1,1,21,21,0,2,-77804,3,2,2,4,3,3,-0.879,3.187
0029 008,29,8,970230,5,1,1,12,21,0,3,2367,3,3,3,2,3,3,-0.879,1.678
0029 009,29,9,1030462,7,1,1,11,12,1,2,-55984,3,4,3,3,3,3,-0.879,2.436
0029 010,29,10,1016943,7,1,1,11,21,0,1,-120436,3,4,4,3,2,2,-0.879,2.186
0029 011,29,11,1136283,5,1,1,31,12,1,2,-73699,4,4,4,3,3,3,-0.879,1.163
0029 012,29,12,980437,7,1,1,31,22,1,3,-17622,4,3,3,3,3,3,-0.879,1.316
0029 013,29,13,915984,5,1,1,12,12,0,2,-53835,2,3,2,2,2,2,-0.879,2.529
0029 014,29,14,1059909,4,1,1,11,21,1,4,54977,4,3,3,4,4,4,-0.879,3.051
0029 015,29,15,863381,8,1,1,31,12,0,2,-73793,3,3,2,1,1,3,-0.879,3.019
0029 016,29,16,910258,3,1,1,12,22,0,2,-43655,4,3,4,3,3,2,-0.879,1.1
0029 017,29,17,993945,5,1,1,12,11,1,1,-142966,3,3,3,2,3,2,-0.879,2.151
0029 018,29,18,1223021,7,1,1,12,11,1,3,-28520,3,3,3,3,4,3,-0.879,4.268
0029 019,29,19,1162607,7,1,1,13,31,0,1,-143280,3,3,4,3,3,3,-0.879,1.494
0029 020,29,20,983433,4,1,1,32,11,0,1,-155111,3,3,3,3,4,2,-0.879,1.921
0029 021,29,21,1013513,8,1,1,32,12,0,2,-33784,3,3,2,3,3,2,-0.879,3.821
0029 022,29,22,1122111,3,1,1,21,21,1,2,-74832,3,3,3,2,3,3,-0.879,1.426
0029 023,29,23,1229531,7,1,1,12,21,0,3,-19873,3,3,3,4,4,4,-0.879,3.726
0029 024,29,24,1196726,9,1,1,12,21,1,5,130563,4,4,3,3,3,3,-0.879,1.596
0029 025,29,25,977046,5,1,1,31,11,0,3,-10438,3,4,4,2,3,3,-0.879,2.721
0030 001,30,1,1025987,2,1,1,12,21,1,2,-88861,3,3,3,2,3,3,-1.947,2.844
0030 002,30,2,1025056,7,1,1,11,12,0,2,-66864,3,3,3,3,4,3,-1.947,2.738
0030 003,30,3,974285,6,1,1,11,11,1,1,-112908,4,4,4,4,4,3,-1.947,2.381
0030 004,30,4,832949,5,1,1,12,12,0,1,-135646,3,3,3,3,4,3,-1.947,2.246
0030 005,30,5,921619,6,1,1,11,21,0,1,-194709,3,3,3,3,3,2,-1.947,2.282
0030 006,30,6,981929,5,1,1,31,12,0,1,-134826,3,3,3,3,3,2,-1.947,1.065
0030 007,30,7,1124414,4,1,1,31,11,0,1,-147895,3,3,4,3,2,2,-1.947,2.705
0030 008,30,8,1004431,4,1,1,12,21,1,1,-124800,4,4,4,2,3,3,-1.947,2.894
0030 009,30,9,854193,2,1,1,11,31,0,3,-24914,2,3,3,4,3,3,-1.947,1.321
0030 010,30,10,881079,4,1,1,11,11,0,2,-67128,3,3,2,2,2,2,-1.947,4.477
0030 011,30,11,872332,5,1,1,31,22,1,3,5274,4,3,3,2,3,3,-1.947,1.787
0030 012,30,12,931053,5,1,1,31,21,0,1,-246685,2,3,2,2,3,2,-1.947,3.204
0030 013,30,13,755598,5,1,1,12,12,0,1,-138275,3,4,4,3,3,4,-1.947,2.931
0030 014,30,14,1219843,4,1,1,12,22,1,2,-51101,3,2,3,4,4,3,-1.947,4.077
0030 015,30,15,849695,5,1,1,11,11,0,1,-249894,3,3,3,4,4,3,-1.947,1.199
0030 016,30,16,1005499,5,1,1,32,11,1,1,-143415,2,2,3,4,4,3,-1.947,2.852
0030 017,30,17,887922,2,1,1,11,11,0,1,-122164,2,3,3,2,2,2,-1.947,1.841
0030 018,30,18,970694,3,1,1,21,22,0,2,-94078,2,3,3,3,3,3,-1.947,2.379
0030 019,30,19,902801,4,1,1,21,11,0,2,-41381,3,2,2,2,3,3,-1.947,1.141
0030 020,30,20,1085718,6,1,1,11,22,0,1,-116943,3,3,4,3,3,2,-1.947,3.046
0030 021,30,21,929823,8,1,1,31,11,0,3,-22813,3,4,4,3,3,3,-1.947,2.502
0030 022,30,22,860140,5,1,1,11,11,0,2,-51551,3,3,3,3,2,2,-1.947,2.916
0030 023,30,23,1057454,6,1,1,32,12,0,1,-200021,3,2,3,2,2,3,-1.947,4.927
0030 024,30,24,974832,13,1,1,31,11,0,1,-126689,3,3,3,2,2,3,-1.947,1.22
0030 025,30,25,1047148,4,1,1,12,21,1,1,-140745,2,3,3,2,2,3,-1.947,2.417
0031 001,31,1,1095382,5,1,1,11,21,1,4,76443,4,4,4,4,4,4,0.906,3.962
0031 002,31,2,934709,4,1,1,21,12,1,4,47951,3,3,3,2,1,2,0.906,2.538
0031 003,31,3,994981,6,1,1,32,21,1,5,147901,3,4,4,2,2,3,0.906,2.795
0031 004,31,4,978198,10,1,1,31,22,0,4,65400,4,4,3,3,3,4,0.906,3.265
0031 005,31,5,1199893,7,1,1,11,21,1,3,21287,4,3,3,3,3,3,0.906,2.436
0031 006,31,6,957837,10,1,1,11,12,1,5,173422,4,4,4,4,2,3,0.906,2.46
0031 007,31,7,838191,3,1,1,12,22,1,4,91799,4,3,4,3,4,3,0.906,2.33
0031 008,31,8,1074022,5,1,1,12,22,1,4,50334,3,4,4,4,4,4,0.906,5.68
0031 009,31,9,1132376,6,1,1,12,22,1,4,80422,3,4,3,4,3,4,0.906,3.192
0031 010,31,10,1213500,5,1,1,32,21,1,4,89234,3,3,4,4,4,3,0.906,6.289
0031 011,31,11,880784,8,1,1,11,21,1,3,19761,3,3,3,2,3,3,0.906,4.044
0031 012,31,12,1144661,4,1,1,12,21,1,5,135677,3,4,4,2,3,2,0.906,1.161
0031 013,31,13,1096464,3,1,1,32,22,1,4,44850,3,3,3,2,3,3,0.906,2.768
0031 014,31,14,964016,5,1,1,21,11,1,3,840,3,3,4,4,4,3,0.906,4.424
0031 015,31,15,804057,5,1,1,31,22,1,5,276294,3,3,2,4,3,4,0.906,4.357
0031 016,31,16,756385,6,1,1,11,11,1,4,37734,3,3,3,3,3,3,0.906,5.145
0031 017,31,17,934037,6,1,1,11,31,0,2,-30519,4,3,3,3,4,3,0.906,3.524
0031 018,31,18,850291,7,1,1,32,22,1,5,147938,4,4,4,4,5,4,0.906,3.652
0031 019,31,19,1156907,6,1,1,12,31,1,4,91462,4,4,4,4,3,4,0.906,4.551
0031 020,31,20,887767,5,1,1,31,11,1,5,117329,4,4,3,4,3,3,0.906,3.893
0031 021,31,21,1211265,6,1,1,32,12,1,4,71055,4,4,3,4,3,4,0.906,6.086
0031 022,31,22,1081144,3,1,1,13,31,1,4,31957,4,4,3,2,3,3,0.906,1.655
0031 023,31,23,1088351,4,1,1,11,11,0,4,32551,4,3,3,2,3,3,0.906,5.497
0031 024,31,24,827852,8,1,1,31,12,1,5,139547,4,4,5,2,3,3,0.906,2.057
0031 025,31,25,1046125,4,1,1,11,12,1,4,79928,5,4,4,3,3,3,0.906,5.324
0032 001,32,1,914353,2,1,1,31,21,0,5,105105,4,3,3,4,3,3,1.053,2.813
0032 002,32,2,919568,5,1,1,12,11,1,3,18165,4,5,4,3,4,3,1.053,4.749
0032 003,32,3,946483,6,1,1,21,12,1,4,90506,4,3,4,3,3,3,1.053,3.251
0032 004,32,4,960274,4,1,1,12,21,1,4,56759,4,5,4,2,3,2,1.053,3.374
0032 005,32,5,1031689,8,1,1,32,11,0,5,156849,3,3,4,4,4,4,1.053,3.994
0032 006,32,6,1111550,3,1,1,11,22,1,4,71934,3,4,5,3,2,3,1.053,1.727
0032 007,32,7,1094004,5,1,1,21,21,1,5,112101,4,3,4,4,3,3,1.053,3.844
0032 008,32,8,897684,3,1,1,21,21,1,5,103623,4,4,4,3,3,3,1.053,2.111
0032 009,32,9,1064264,5,1,1,11,21,1,3,-13132,3,3,3,4,4,4,1.053,2.711
0032 010,32,10,1244979,5,1,1,21,12,0,2,-65364,4,4,4,3,3,3,1.053,3.518
0032 011,32,11,1024854,5,1,1,31,22,1,5,182451,3,3,3,2,2,3,1.053,1.007
0032 012,32,12,1034285,7,1,1,32,22,1,5,122511,4,3,3,3,3,3,1.053,2.812
0032 013,32,13,1017638,3,1,1,11,21,0,2,-71318,5,4,3,3,2,2,1.053,3.114
0032 014,32,14,1158498,4,1,1,12,22,1,2,-58106,4,4,4,3,2,3,1.053,4.366
0032 015,32,15,923666,4,1,1,13,11,1,4,35881,3,3,4,3,4,3,1.053,2.705
0032 016,32,16,1065640,6,1,1,32,22,1,2,-47418,4,4,3,3,3,3,1.053,3.26
0032 017,32,17,926556,5,1,1,21,12,0,3,-22225,2,3,3,3,3,4,1.053,1.816
0032 018,32,18,901335,6,1,1,21,21,1,4,66583,4,5,5,3,3,3,1.053,3.365
0032 019,32,19,1013979,7,1,1,32,11,0,2,-33837,4,4,4,4,4,3,1.053,4.011
0032 020,32,20,1060609,2,1,1,21,21,1,5,125259,3,4,4,3,3,3,1.053,3.767
0032 021,32,21,956076,5,1,1,21,21,1,3,22544,4,4,4,4,3,3,1.053,0.638
0032 022,32,22,872222,6,1,1,11,22,0,4,98395,4,3,3,4,4,4,1.053,0.975
0032 023,32,23,1013124,2,1,1,21,22,1,3,22752,3,4,4,3,2,3,1.053,2.867
0032 024,32,24,1185178,7,1,1,12,12,1,5,244918,5,4,4,3,4,3,1.053,3.783
0032 025,32,25,848357,1,1,1,31,22,0,3,18087,4,3,3,3,3,4,1.053,3.578
0033 001,33,1,1027514,3,1,1,21,22,0,4,48105,4,3,4,3,3,2,0.595,2.107
0033 002,33,2,745533,4,1,1,21,12,0,2,-43621,4,3,3,4,4,3,0.595,5.495
0033 003,33,3,1252116,4,1,1,32,11,1,5,149053,4,4,4,5,4,4,0.595,4.728
0033 004,33,4,1099314,6,1,1,11,12,1,5,130779,5,4,4,4,3,4,0.595,5.395
0033 005,33,5,983351,2,1,1,31,31,1,5,238846,5,4,5,4,3,3,0.595,2.761
0033 006,33,6,1046894,9,1,1,21,11,0,1,-204246,3,4,4,3,4,2,0.595,5.018
0033 007,33,7,1033649,7,1,1,13,21,1,4,64523,3,3,3,3,4,3,0.595,2.577
0033 008,33,8,1087715,2,1,1,13,12,1,4,35994,4,4,4,3,3,4,0.595,5.214
0033 009,33,9,1095832,5,1,1,21,21,0,3,16301,4,2,3,3,3,3,0.595,4.231
0033 010,33,10,1021827,4,1,1,11,21,1,5,163819,4,5,4,3,3,4,0.595,4.401
0033 011,33,11,1010979,7,1,1,13,21,1,5,127748,3,3,3,3,2,3,0.595,3.018
0033 012,33,12,939796,8,1,1,32,12,0,3,-2896,3,2,3,2,2,3,0.595,3.858
0033 013,33,13,1078785,2,1,1,12,12,0,3,24654,4,4,4,3,4,4,0.595,4.855
0033 014,33,14,867584,4,1,1,12,11,1,5,246451,4,4,4,3,4,4,0.595,1.881
0033 015,33,15,1053824,5,1,1,13,31,1,4,82306,5,4,4,3,4,3,0.595,4.221
0033 016,33,16,1195406,7,1,1,13,22,0,4,76353,3,3,3,4,4,3,0.595,4.64
0033 017,33,17,1174742,3,1,1,32,11,0,3,-23610,5,4,4,3,3,4,0.595,6.198
0033 018,33,18,825412,4,1,1,31,11,0,3,24501,4,3,3,1,3,2,0.595,4.641
0033 019,33,19,1106325,6,1,1,32,21,1,2,-36770,5,3,4,3,3,2,0.595,2.322
0033 020,33,20,1049601,4,1,1,13,12,1,4,55371,4,4,4,3,4,4,0.595,5.256
0033 021,33,21,1100332,8,1,1,31,12,1,4,95900,3,4,2,4,4,4,0.595,3.808
0033 022,33,22,987969,11,1,1,13,12,1,4,99260,4,5,5,3,4,3,0.595,5.175
0033 023,33,23,875314,9,1,1,11,21,1,5,146696,3,5,4,3,3,2,0.595,4.061
